year,product_code,product_fullname_english,product_shortname_english,group_code,group_name,community_code,community_name,community_color,export_value_usd,import_value_usd,export_rca,import_rca,,,,,,,,
1962,8708,"Motor vehicles; parts and accessories, of heading no. 8701 to 8705",Vehicle Parts,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",17,Transportation,#a1aafb,216062555,63021341,1.1288,0.4795,,,,,,,,
1962,8707,Bodies; (including cabs) for the motor vehicles of heading no. 8701 to 8705,Vehicle Bodies,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",17,Transportation,#a1aafb,580675123,3254684,3.409,0.0278,,,,,,,,
1962,8706,"Chassis; fitted with engines, for the motor vehicles of heading no. 8701 to 8705",Vehicle Chassis,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",17,Transportation,#a1aafb,26750450,478557,0.5171,0.0135,,,,,,,,
1962,8705,"Special purpose motor vehicles; not those for the transport of persons or goods (e.g. breakdown lorries, road sweeper lorries, spraying lorries, mobile workshops, mobile radiological units etc)",Specialized Vehicles,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",17,Transportation,#a1aafb,25419107,6473864,1.6222,0.6017,,,,,,,,
1962,8703,"Motor cars and other motor vehicles; principally designed for the transport of persons (other than those of heading no. 8702), including station wagons and racing cars",Cars,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",17,Transportation,#a1aafb,548813488,504197438,0.7692,1.029,,,,,,,,
1962,8702,Vehicles; public transport passenger type,Buses,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",17,Transportation,#a1aafb,21176483,3960488,0.8848,0.241,,,,,,,,
1962,8701,Tractors; (other than tractors of heading no 8709),Tractors,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",17,Transportation,#a1aafb,393913491,51722381,2.431,0.4648,,,,,,,,
1962,8609,Containers; (including containers for transport of fluids) specially designed and equipped for carriage by one or more modes of transport,Railway Cargo Containers,86,"Railway, tramway locomotives, rolling-stock and parts thereof; railway or tramway track fixtures and fittings and parts thereof; mechanical (including electro-mechanical) traffic signalling equipment of all kinds",17,Transportation,#a1aafb,208116,71865,0.3943,0.1983,,,,,,,,
1962,8608,"Railway or tramway track fixtures and fittings; mechanical (including electro-mechanical) signalling, safety or traffic control equipment for railways, tramways, roads, inland waterways, parking facilities, port installations or airfields; parts thereof",Railway Track Fixtures,86,"Railway, tramway locomotives, rolling-stock and parts thereof; railway or tramway track fixtures and fittings and parts thereof; mechanical (including electro-mechanical) traffic signalling equipment of all kinds",17,Transportation,#a1aafb,1742194,4375,1.4465,0.0053,,,,,,,,
1962,8607,Railway or tramway locomotives or rolling stock; parts thereof,Locomotive Parts,86,"Railway, tramway locomotives, rolling-stock and parts thereof; railway or tramway track fixtures and fittings and parts thereof; mechanical (including electro-mechanical) traffic signalling equipment of all kinds",17,Transportation,#a1aafb,38635296,1159291,1.304,0.057,,,,,,,,
1962,8606,Railway or tramway goods vans and wagons; not self-propelled,Railway Freight Cars,86,"Railway, tramway locomotives, rolling-stock and parts thereof; railway or tramway track fixtures and fittings and parts thereof; mechanical (including electro-mechanical) traffic signalling equipment of all kinds",17,Transportation,#a1aafb,4796864,0,0.5431,,,,,,,,,
1962,8605,"Railway or tramway coaches; passenger coaches, luggage vans, post office coaches and other special purpose railway or tramway coaches, not self-propelled (excluding those of heading no. 8604)",Railway Passenger Cars,86,"Railway, tramway locomotives, rolling-stock and parts thereof; railway or tramway track fixtures and fittings and parts thereof; mechanical (including electro-mechanical) traffic signalling equipment of all kinds",17,Transportation,#a1aafb,2513468,773574,0.2733,0.1225,,,,,,,,
1962,8604,"Railway or tramway maintenance or service vehicles; whether or not self-propelled (e.g. workshops, cranes, ballast tampers, trackliners, testing coaches and track inspection vehicles)",Railway Maintenance Vehicles,86,"Railway, tramway locomotives, rolling-stock and parts thereof; railway or tramway track fixtures and fittings and parts thereof; mechanical (including electro-mechanical) traffic signalling equipment of all kinds",17,Transportation,#a1aafb,4879695,71865,0.3829,0.0082,,,,,,,,
1962,8603,"Railway or tramway coaches, vans and trucks; self-propelled tenders, other than those of heading no. 8604",Self-Propelled Rail Transport,86,"Railway, tramway locomotives, rolling-stock and parts thereof; railway or tramway track fixtures and fittings and parts thereof; mechanical (including electro-mechanical) traffic signalling equipment of all kinds",17,Transportation,#a1aafb,9827816,606000,1.0415,0.0935,,,,,,,,
1962,8602,"Rail locomotives; (other than those of heading no. 8601), locomotive tenders",Other Locomotives,86,"Railway, tramway locomotives, rolling-stock and parts thereof; railway or tramway track fixtures and fittings and parts thereof; mechanical (including electro-mechanical) traffic signalling equipment of all kinds",17,Transportation,#a1aafb,127856711,404291,3.9872,0.0184,,,,,,,,
1962,8601,Rail locomotives; powered from an external source of electricity or by electric accumulators,Electric Locomotives,86,"Railway, tramway locomotives, rolling-stock and parts thereof; railway or tramway track fixtures and fittings and parts thereof; mechanical (including electro-mechanical) traffic signalling equipment of all kinds",17,Transportation,#a1aafb,11984376,0,1.8733,,,,,,,,,
1962,8548,"Waste and scrap of primary cells, primary batteries and electric accumulators; spent primary cells, spent primary batteries and spent electric accumulators; electrical parts of machinery or apparatus, n.e.c. or included elsewhere in chapter 85",Electrical Parts,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",16,Machines,#d1a1bc,16433156,3112805,2.0778,0.5732,,,,,,,,
1962,8547,"Insulating fittings; for electrical machines, appliances, equipment, excluding insulators of heading no. 8546, electrical conduit tubing and joints therefor",Metal Insulating Fittings,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",16,Machines,#d1a1bc,3094553,51175,0.7608,0.0183,,,,,,,,
1962,8546,Electrical insulators of any material,Electrical Insulators,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",16,Machines,#d1a1bc,16102296,1360944,1.7433,0.2146,,,,,,,,
1962,8545,"Carbon electrodes, carbon brushes, lamp carbons, battery carbons and other articles of graphite or other carbon; with or without metal, of a kind used for electrical purposes",Carbon-based Electronics,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",16,Machines,#d1a1bc,8579277,2756874,0.81,0.379,,,,,,,,
1962,8544,"Insulated wire, cable and other electric conductors, connector fitted or not; optical fibre cables of individually sheathed fibres, whether or not assembled with electric conductors or fitted with connectors",Insulated Wire,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",16,Machines,#d1a1bc,30592453,12725691,0.5425,0.3286,,,,,,,,
1962,8543,"Electrical machines and apparatus; having individual functions, not specified or included elsewhere in this chapter",Other Electrical Machinery,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",16,Machines,#d1a1bc,59186185,65781801,1.5982,2.5868,,,,,,,,
1962,8539,"Lamps; electric filament or discharge lamps, including sealed beam lamp units and ultra-violet or infra-red lamps, arc-lamps",Electric Filament,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",16,Machines,#d1a1bc,25658662,14501829,0.9972,0.8207,,,,,,,,
1962,8533,"Electrical resistors (including rheostats and potentiometers), excluding heating resistors",Electrical Resistors,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",16,Machines,#d1a1bc,149905885,8367467,1.3686,0.1112,,,,,,,,
1962,8532,"Electrical capacitors; fixed, variable or adjustable (pre-set)",Electrical Capacitors,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",16,Machines,#d1a1bc,7743287,4174902,0.7095,0.5571,,,,,,,,
1962,8531,"Signalling apparatus; electric sound or visual (e.g. bells, sirens, indicator panels, burglar or fire alarms), excluding those of heading no. 8512 or 8530",Audio Alarms,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",16,Machines,#d1a1bc,1287154,678492,0.7003,0.5376,,,,,,,,
1962,8530,"Signalling, safety or traffic control equipment; for railways, tramways, roads, inland waterways, parking facilities, port installations, airfields, excluding those of heading no. 8608",Traffic Signals,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",16,Machines,#d1a1bc,3599819,58771,1.7328,0.0412,,,,,,,,
1962,8528,"Monitors and projectors, not incorporating television reception apparatus; reception apparatus for television, whether or not incorporating radio-broadcast receivers or sound or video recording or reproducing apparatus",Video Displays,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",16,Machines,#d1a1bc,29783674,11612621,1.0955,0.622,,,,,,,,
1962,8527,"Reception apparatus for radio-broadcasting, whether or not combined, in the same housing, with sound recording or reproducing apparatus or a clock.",Radio Receivers,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",16,Machines,#d1a1bc,14601743,124578278,0.2065,2.5657,,,,,,,,
1962,8523,"Discs, tapes, solid-state non-volatile storage devices, smart cards and other media for the recording of sound or of other phenomena, whether or not recorded, including matrices and masters for the production of discs, excluding products of Chapter 37",Blank Audio Media,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",16,Machines,#d1a1bc,100988233,37332966,1.553,0.836,,,,,,,,
1962,8522,Sound or video recording apparatus; parts thereof of apparatus of heading no. 8519 to 8521,Audio and Video Recording Accessories,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",16,Machines,#d1a1bc,2882235,4880260,0.7057,1.74,,,,,,,,
1962,8519,Sound recording or reproducing apparatus,Sound Recording Equipment,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",16,Machines,#d1a1bc,44989403,84861920,0.699,1.92,,,,,,,,
